slot,epoch,has_block,block_root,confirmed,confirmed_root,confirmed_slot,confirmation_delay_slots,head_root,finalized_epoch,justified_epoch,num_attestations_injected,is_epoch_boundary,is_missed_slot,fcr_eval_duration_us
13942080,435690,true,0xfcbc0adef26b090d46f8199cf3ff481f2ff603fc84ab0ede059e6cce67ffcb4c,true,0xfcbc0adef26b090d46f8199cf3ff481f2ff603fc84ab0ede059e6cce67ffcb4c,13942080,0,0xfcbc0adef26b090d46f8199cf3ff481f2ff603fc84ab0ede059e6cce67ffcb4c,435688,435689,3,true,false,0
13942081,435690,true,0x031c158a0f49e5fdbbae345d18715faf89ed96566bacb81ecebac40abc33cbc2,true,0x031c158a0f49e5fdbbae345d18715faf89ed96566bacb81ecebac40abc33cbc2,13942081,0,0x031c158a0f49e5fdbbae345d18715faf89ed96566bacb81ecebac40abc33cbc2,435688,435689,6,false,false,0
13942082,435690,true,0x1bff58ba321678bf70d149a43f7687479595828e772d0d08a0ed4a2267df7eef,true,0x1bff58ba321678bf70d149a43f7687479595828e772d0d08a0ed4a2267df7eef,13942082,0,0x1bff58ba321678bf70d149a43f7687479595828e772d0d08a0ed4a2267df7eef,435688,435689,8,false,false,0
13942083,435690,true,0x13f39dc017aa914c6180b516868bd1fef9ca8871067f4c515caf589b3061d1aa,true,0x13f39dc017aa914c6180b516868bd1fef9ca8871067f4c515caf589b3061d1aa,13942083,0,0x13f39dc017aa914c6180b516868bd1fef9ca8871067f4c515caf589b3061d1aa,435688,435689,2,false,false,0
13942084,435690,true,0xb18011ca5c9014a39ca71bb395405fedd7e8dae7e11adda8cdfd16bfc3b0658f,true,0xb18011ca5c9014a39ca71bb395405fedd7e8dae7e11adda8cdfd16bfc3b0658f,13942084,0,0xb18011ca5c9014a39ca71bb395405fedd7e8dae7e11adda8cdfd16bfc3b0658f,435688,435689,8,false,false,0
13942085,435690,true,0x49c4a40b5c6a91361a46fa04672d502b8c999be40dfabf3917f4eb0eb0d46b0f,true,0x49c4a40b5c6a91361a46fa04672d502b8c999be40dfabf3917f4eb0eb0d46b0f,13942085,0,0x49c4a40b5c6a91361a46fa04672d502b8c999be40dfabf3917f4eb0eb0d46b0f,435688,435689,4,false,false,0
13942086,435690,true,0x02e4c22592ddcc2aa09db64e3593110ef3ef2ed8f79260f28b4168324424a0eb,true,0x02e4c22592ddcc2aa09db64e3593110ef3ef2ed8f79260f28b4168324424a0eb,13942086,0,0x02e4c22592ddcc2aa09db64e3593110ef3ef2ed8f79260f28b4168324424a0eb,435688,435689,8,false,false,0
13942087,435690,true,0x3b7c9fdce95cac95b820966bfb929152b35081d67b5487c687154667ce0da614,true,0x3b7c9fdce95cac95b820966bfb929152b35081d67b5487c687154667ce0da614,13942087,0,0x3b7c9fdce95cac95b820966bfb929152b35081d67b5487c687154667ce0da614,435688,435689,6,false,false,0
13942088,435690,true,0x1726faefee6285a7de119b4651bdf1f9c477d2eb97b71082b5a1a416db8bf458,true,0x1726faefee6285a7de119b4651bdf1f9c477d2eb97b71082b5a1a416db8bf458,13942088,0,0x1726faefee6285a7de119b4651bdf1f9c477d2eb97b71082b5a1a416db8bf458,435688,435689,5,false,false,0
13942089,435690,true,0x250cd53e7c5d51694a03a5f5808327ef30c941f2e7abe7e8cea605f04e403df2,true,0x250cd53e7c5d51694a03a5f5808327ef30c941f2e7abe7e8cea605f04e403df2,13942089,0,0x250cd53e7c5d51694a03a5f5808327ef30c941f2e7abe7e8cea605f04e403df2,435688,435689,1,false,false,0
